"sublist1" "laying" "standing" "sitting" "walking_down" "walking_up" "walking"
"fBodyAccJerk-meanFreq()-X" 0.105178707989746 0.202899961364448 0.185014353841248 -0.314941325453129 -0.339080440587254 -0.339080440587254
"fBodyAccJerk-meanFreq()-Y" 0.00485365387352315 -0.131892581837775 -0.0583108773539561 -0.386044309466579 -0.452501330578951 -0.452501330578951
"fBodyAccJerk-meanFreq()-Z" 0.0699619900375761 0.00670022889249738 0.00299622469976759 -0.23740280265473 -0.44116273987351 -0.44116273987351
"fBodyGyro-mean()-X" -0.962915035776389 -0.943654258352571 -0.977267261395611 -0.217922875601003 -0.394248174023122 -0.394248174023122
"fBodyGyro-mean()-Y" -0.967582058544239 -0.965302753756558 -0.972457592965672 -0.317592694113158 -0.45925346898967 -0.45925346898967
"fBodyGyro-mean()-Z" -0.964184423173868 -0.958384988536201 -0.961028716797974 -0.16562514453862 -0.296857721646179 -0.296857721646179
"fBodyGyro-meanFreq()-X" -0.0174605087394012 -0.227494715950519 0.0625911646973101 -0.170016349676807 -0.212837257343873 -0.212837257343873
"fBodyGyro-meanFreq()-Y" -0.139337310710561 -0.216012369878284 -0.218028334561964 -0.0440853930714011 -0.319518692055149 -0.319518692055149
"fBodyGyro-meanFreq()-Z" 0.11328010251823 -0.0914293859460278 -0.0126999936364434 -0.0187917610518457 -0.26034110185728 -0.26034110185728
"fBodyAccMag-mean()" -0.94767271172428 -0.955868098520462 -0.952410413225098 0.142849426284481 -0.26202811322658 -0.26202811322658
"fBodyAccMag-meanFreq()" 0.116228984859398 0.0484947368601238 0.114105393420517 0.0250364653867319 -0.0532170060678109 -0.0532170060678109
"fBodyBodyAccJerkMag-mean()" -0.974300115365226 -0.971090423866737 -0.978684370388295 0.00476245916278094 -0.353961999926425 -0.353961999926425
"fBodyBodyAccJerkMag-meanFreq()" 0.281115014821636 0.251268415000934 0.281460817910214 0.0200704059537717 0.0628726058822474 0.0628726058822474
"fBodyBodyGyroMag-mean()" -0.95485445779321 -0.94790849906086 -0.964296113911086 -0.289525832505356 -0.449781382648834 -0.449781382648834
"fBodyBodyGyroMag-meanFreq()" -0.0293652946094444 -0.183705132389758 -0.076439552620045 0.0671727851545073 -0.168707548570072 -0.168707548570072
"fBodyBodyGyroJerkMag-mean()" -0.977968240452675 -0.974885979685205 -0.985335632976927 -0.438007290282333 -0.658694456439443 -0.658694456439443
"fBodyBodyGyroJerkMag-meanFreq()" 0.165728127309943 0.0848650395195068 0.177738590515189 0.0957588246085356 0.094112452115136 0.094112452115136
